Method,Missing %,Condition,Boundary,Length,Gap_size,MAE,RMSE,R2,Bias
Diagonal Climatology,20%,normal,crossing,long,25,0.64,0.727,0.952,0.507
Diagonal Climatology,20%,stagnant_wind,stable,short,5,3.18,3.215,-43.7824,-3.18
Diagonal Climatology,20%,normal,rising,short,3,2.027,2.031,-6.5894,2.027
Diagonal Climatology,20%,extreme_high_temp,stable,short,5,1.404,1.459,-198.5407,-1.404
Diagonal Climatology,20%,normal,rising,short,3,5.859,6.024,-22.6949,5.859
Diagonal Climatology,20%,normal,crossing,long,39,2.219,2.41,0.5549,2.219
Diagonal Climatology,20%,normal,crossing,medium,19,0.469,0.577,0.903,0.319
Diagonal Climatology,20%,extreme_high_temp,crossing,short,5,0.931,0.972,0.3362,-0.931
Diagonal Climatology,20%,normal,falling,medium,12,1.46,1.482,-0.7935,-1.46
Diagonal Climatology,20%,normal,crossing,long,25,4.146,4.259,-2.1841,-4.146
Diagonal Climatology,20%,normal,stable,long,37,3.183,3.929,-0.5742,3.183
Diagonal Climatology,20%,normal,rising,long,47,4.218,4.647,-0.575,-4.218
Diagonal Climatology,20%,normal,crossing,medium,17,1.695,1.766,0.6903,1.695
Diagonal Climatology,20%,normal,crossing,medium,11,2.119,2.331,0.2905,1.543
Diagonal Climatology,20%,normal,falling,short,1,2.465,2.465,,2.465
Diagonal Climatology,20%,high_temp,crossing,short,5,0.375,0.426,0.8104,-0.375
Diagonal Climatology,20%,high_temp,stable,short,5,0.398,0.546,-9.3944,-0.39
Diagonal Climatology,20%,extreme_high_temp,crossing,medium,17,0.964,1.091,0.1367,0.964
Diagonal Climatology,20%,normal,falling,medium,9,0.595,0.854,0.4357,0.183
Diagonal Climatology,20%,normal,stable,short,3,1.122,1.14,-23.9328,1.122
Diagonal Climatology,20%,extreme_high_temp,crossing,short,5,2.79,2.812,-3.1387,-2.79
Diagonal Climatology,20%,normal,crossing,long,29,2.663,2.788,0.3636,2.663
Diagonal Climatology,20%,normal,crossing,medium,17,2.287,2.302,0.2869,2.287
Diagonal Climatology,20%,normal,stable,short,3,2.223,2.224,-46.9058,-2.223
Diagonal Climatology,20%,normal,stable,short,5,0.373,0.428,-3.2942,-0.373
Diagonal Climatology,20%,extreme_high_temp,stable,short,3,0.334,0.452,-1.1366,0.171
Diagonal Climatology,20%,normal,stable,short,2,3.797,3.797,-2941.0301,3.797
Diagonal Climatology,20%,normal,stable,short,1,2.533,2.533,,-2.533
Diagonal Climatology,20%,normal,rising,short,3,0.849,0.904,-0.6253,0.849
Diagonal Climatology,20%,normal,rising,long,29,2.214,2.32,0.7291,2.214
Diagonal Climatology,20%,normal,falling,short,3,2.392,2.432,-10.6572,-2.392
Diagonal Climatology,20%,high_temp,crossing,medium,11,2.672,2.73,-0.2812,-2.672
Diagonal Climatology,20%,low_temp,crossing,medium,17,1.113,1.369,-6.0917,0.931
Diagonal Climatology,20%,extreme_high_temp,crossing,medium,9,3.816,3.841,-2.0248,-3.816
Diagonal Climatology,20%,normal,stable,long,44,2.433,2.666,0.5253,2.433
Diagonal Climatology,20%,normal,rising,short,5,1.02,1.039,-0.0896,1.02
Diagonal Climatology,20%,normal,stable,short,5,2.028,2.033,-124.6757,2.028
Diagonal Climatology,20%,stagnant_wind,crossing,short,5,0.83,1.064,0.6847,0.575
Diagonal Climatology,20%,normal,falling,medium,13,0.71,0.85,0.5582,0.687
Diagonal Climatology,20%,normal,rising,short,3,0.941,0.961,-0.429,-0.941
Diagonal Climatology,20%,normal,crossing,short,5,1.653,1.667,-2.6299,1.653
Diagonal Climatology,20%,extreme_high_temp,crossing,short,5,1.778,2.28,-0.0279,1.506
Diagonal Climatology,20%,low_temp,stable,short,3,2.057,2.069,-82.8736,2.057
Diagonal Climatology,20%,normal,stable,short,5,0.298,0.316,-0.1426,0.226
Diagonal Climatology,20%,extreme_high_temp,crossing,long,31,1.767,2.016,0.782,-1.728
Diagonal Climatology,20%,normal,falling,medium,11,1.985,2.174,-0.433,-1.985
Diagonal Climatology,20%,stagnant_wind,crossing,medium,10,0.898,1.141,-0.7788,0.421
Diagonal Climatology,20%,normal,falling,long,25,0.468,0.546,0.8919,0.17
Diagonal Climatology,20%,normal,stable,long,29,1.534,1.848,-2.6173,-1.173
Diagonal Climatology,20%,normal,crossing,medium,21,1.464,1.556,0.6537,-1.464
Diagonal Climatology,20%,extreme_high_temp,rising,medium,9,3.735,3.74,-23.9897,-3.735
Diagonal Climatology,20%,normal,stable,long,49,1.374,1.517,0.502,-1.368
Diagonal Climatology,20%,normal,stable,medium,15,4.473,4.632,-1.7234,-3.956
Diagonal Climatology,20%,normal,crossing,short,4,0.444,0.669,0.9486,0.203
Diagonal Climatology,20%,high_temp,crossing,short,3,1.516,1.535,-1.9373,1.516
Diagonal Climatology,20%,normal,stable,short,1,1.31,1.31,,1.31
Diagonal Climatology,20%,low_temp,stable,medium,21,2.686,2.963,-203.1934,2.686
Diagonal Climatology,20%,low_temp,crossing,medium,11,1.124,1.226,0.6696,0.891
Diagonal Climatology,20%,normal,stable,short,1,0.323,0.323,,0.323
Diagonal Climatology,20%,normal,crossing,medium,11,2.637,2.656,0.0655,2.637
Diagonal Climatology,20%,normal,stable,long,49,0.518,0.679,0.8917,-0.295
Diagonal Climatology,20%,normal,stable,medium,21,3.058,3.609,-23.9374,3.058
Diagonal Climatology,20%,normal,crossing,medium,13,1.116,1.279,0.7232,1.099
Diagonal Climatology,20%,normal,rising,medium,12,2.215,2.376,0.7157,2.215
Diagonal Climatology,20%,normal,falling,short,1,1.805,1.805,,1.805
Diagonal Climatology,20%,normal,stable,short,5,3.044,3.07,-10.6293,3.044
Diagonal Climatology,20%,extreme_high_temp,falling,short,5,1.135,1.161,-0.3393,-1.135
Diagonal Climatology,20%,stagnant_wind,crossing,medium,13,0.363,0.433,0.8957,0.108
Diagonal Climatology,20%,stagnant_wind,stable,short,1,0.15,0.15,,-0.15
Diagonal Climatology,20%,low_temp,crossing,medium,21,0.843,0.928,0.7094,0.843
Diagonal Climatology,20%,stagnant_wind,stable,short,1,1.286,1.286,,-1.286
Diagonal Climatology,20%,low_temp,stable,short,3,3.074,3.084,-2951.74,3.074
Diagonal Climatology,20%,normal,crossing,short,5,2.743,2.749,-4.1023,2.743
Diagonal Climatology,20%,normal,stable,short,3,2.618,2.656,-8.5981,2.618
Diagonal Climatology,20%,stagnant_wind,stable,short,4,1.709,1.73,-33.8193,-1.709
Diagonal Climatology,20%,stagnant_wind,rising,short,3,2.224,2.233,-3.5671,-2.224
Diagonal Climatology,20%,normal,rising,medium,9,1.38,1.467,0.676,1.38
Diagonal Climatology,20%,normal,rising,short,5,0.735,0.764,-2.5739,0.735
Diagonal Climatology,20%,stagnant_wind,rising,medium,13,0.941,1.054,0.0749,-0.941
Diagonal Climatology,20%,high_temp,rising,medium,23,2.851,3.026,-0.3391,-2.851
Diagonal Climatology,20%,stagnant_wind,stable,medium,7,1.636,1.641,-43.8265,-1.636
Diagonal Climatology,20%,normal,crossing,medium,7,1.579,1.683,-1.2968,-1.579
Diagonal Climatology,20%,high_temp,stable,medium,7,0.368,0.453,-2.5737,0.29
Diagonal Climatology,20%,normal,stable,medium,19,1.04,1.313,-3.7444,1.04
Diagonal Climatology,20%,normal,falling,short,3,3.299,3.328,-30.9933,-3.299
Diagonal Climatology,20%,normal,crossing,long,45,0.54,0.662,0.9218,-0.517
Diagonal Climatology,20%,normal,stable,short,5,0.499,0.508,-0.1561,-0.499
Diagonal Climatology,20%,normal,stable,medium,7,1.251,1.318,-5.6628,1.251
Diagonal Climatology,20%,normal,falling,medium,11,0.277,0.354,0.2721,-0.23
Diagonal Climatology,20%,high_temp,stable,medium,7,0.577,0.584,-7.3728,0.577
Diagonal Climatology,20%,stagnant_wind,stable,medium,9,0.712,0.734,-4.0487,-0.712
Diagonal Climatology,20%,low_temp,stable,long,40,1.381,1.464,0.8637,1.381
Diagonal Climatology,20%,normal,stable,long,43,1.556,1.69,0.4528,0.22
Diagonal Climatology,20%,low_temp,crossing,short,5,0.904,0.931,-9.0047,0.904
Diagonal Climatology,20%,normal,stable,short,5,1.361,1.383,-41.1775,-1.361
Diagonal Climatology,20%,low_temp,stable,short,3,0.789,0.815,-36.9185,-0.789
Diagonal Climatology,20%,normal,falling,short,5,1.786,1.843,0.3578,0.469
Diagonal Climatology,20%,normal,falling,medium,7,0.667,0.728,0.1219,-0.077
Diagonal Climatology,20%,normal,stable,short,5,3.542,3.589,-175.8449,-3.542
Diagonal Climatology,20%,low_temp,crossing,medium,7,1.673,1.686,-4.0587,1.673
Diagonal Climatology,20%,high_temp,stable,short,1,2.637,2.637,,2.637
Diagonal Climatology,20%,normal,stable,short,1,0.109,0.109,,0.109
Diagonal Climatology,20%,normal,falling,medium,11,1.566,1.653,-1.6309,-1.566
Diagonal Climatology,20%,normal,crossing,short,3,3.292,3.52,-2.524,3.292
Diagonal Climatology,20%,normal,falling,short,5,1.494,1.587,-0.914,-1.494
Diagonal Climatology,20%,normal,falling,long,40,1.781,1.899,0.7648,1.781
Diagonal Climatology,20%,high_temp,crossing,medium,21,3.039,3.083,-0.2567,-3.039
Diagonal Climatology,20%,stagnant_wind,stable,short,3,0.693,0.721,-75.1118,-0.693
Diagonal Climatology,20%,normal,crossing,medium,16,0.664,0.735,0.9355,0.391
Diagonal Climatology,20%,low_temp,crossing,long,33,2.014,2.264,-28.8354,2.014
Diagonal Climatology,20%,normal,rising,medium,14,1.202,1.249,-0.9818,-1.202
Diagonal Climatology,20%,extreme_high_temp,crossing,medium,7,2.017,2.019,-0.8638,-2.017
Diagonal Climatology,20%,stagnant_wind,rising,medium,15,1.38,1.479,0.6146,1.38
Diagonal Climatology,20%,normal,stable,medium,15,0.897,0.972,-0.6653,-0.897
Diagonal Climatology,20%,normal,rising,short,1,2.603,2.603,,-2.603
Diagonal Climatology,20%,normal,stable,short,3,2.829,2.831,-1462.4107,2.829
Diagonal Climatology,20%,normal,falling,medium,9,2.588,2.671,-3.424,-2.588
Diagonal Climatology,20%,normal,stable,short,3,1.151,1.165,-46.9978,1.151
Diagonal Climatology,20%,normal,stable,medium,17,0.38,0.466,0.8219,-0.016
Diagonal Climatology,20%,normal,stable,medium,21,0.447,0.531,0.5235,-0.377
Diagonal Climatology,20%,normal,stable,long,33,1.363,1.658,0.6776,-0.719
Diagonal Climatology,20%,normal,stable,short,5,1.801,1.813,-65.2382,-1.801
Diagonal Climatology,20%,stagnant_wind,falling,short,3,0.201,0.231,0.8961,0.161
Diagonal Climatology,20%,stagnant_wind,crossing,medium,13,0.538,0.598,0.9538,-0.478
Diagonal Climatology,20%,normal,stable,short,3,2.571,2.578,-794.6747,-2.571
Diagonal Climatology,20%,extreme_high_temp,stable,medium,7,1.832,1.843,-15.6772,1.832
Diagonal Climatology,20%,normal,falling,short,5,1.755,1.982,-1.0142,-1.755
Diagonal Climatology,20%,normal,stable,short,3,0.936,0.939,-108.3615,0.936
Diagonal Climatology,20%,low_temp,crossing,medium,22,2.01,2.271,-0.7623,1.968
Diagonal Climatology,20%,normal,stable,short,1,2.835,2.835,,2.835
Diagonal Climatology,20%,normal,crossing,medium,20,1.431,1.554,0.2909,-1.431
LOCF,20%,extreme_high_temp,crossing,medium,19,4.223,5.124,-0.9548,3.581
LOCF,20%,stagnant_wind,rising,short,3,1.136,1.344,-2.4975,-1.136
LOCF,20%,normal,crossing,medium,19,2.8,3.688,-0.6285,2.291
LOCF,20%,normal,rising,long,39,2.698,3.468,-0.5123,-2.018
LOCF,20%,normal,falling,medium,17,2.987,3.361,-3.7576,2.987
LOCF,20%,high_temp,crossing,medium,15,4.078,4.315,-8.363,4.078
LOCF,20%,extreme_high_temp,stable,short,3,0.279,0.322,-1.205,-0.238
LOCF,20%,stagnant_wind,stable,short,3,0.05,0.062,-0.2166,0.026
LOCF,20%,low_temp,stable,medium,9,1.458,1.601,-4.8774,1.458
LOCF,20%,normal,crossing,medium,19,2.432,3.037,-0.0112,-0.32
LOCF,20%,extreme_high_temp,rising,medium,19,9.74,9.867,-38.1228,-9.74
LOCF,20%,stagnant_wind,crossing,short,3,0.054,0.067,-1.9192,0.054
LOCF,20%,normal,crossing,long,47,3.569,4.116,-0.3679,2.134
LOCF,20%,stagnant_wind,stable,long,25,1.732,2.015,-0.1457,0.719
LOCF,20%,low_temp,crossing,medium,15,1.116,1.638,-0.1047,-0.504
LOCF,20%,low_temp,crossing,short,3,1.703,1.91,-3.8729,-1.703
LOCF,20%,normal,stable,short,3,0.863,0.881,-23.8088,-0.863
LOCF,20%,low_temp,crossing,long,35,3.331,3.687,-0.0804,1.006
LOCF,20%,low_temp,crossing,short,3,2.635,2.965,-3.759,-2.635
LOCF,20%,stagnant_wind,stable,short,5,0.131,0.143,-0.1034,-0.044
LOCF,20%,normal,falling,medium,11,2.121,2.97,-1.0406,2.121
LOCF,20%,low_temp,crossing,short,5,4.882,5.106,-10.6795,4.882
LOCF,20%,low_temp,crossing,medium,7,2.983,3.634,-2.0682,-2.983
LOCF,20%,normal,stable,short,5,0.611,0.643,-9.5675,-0.611
LOCF,20%,stagnant_wind,stable,medium,7,0.443,0.504,-2.8996,-0.435
LOCF,20%,normal,crossing,medium,23,2.56,2.934,-0.0021,0.133
LOCF,20%,normal,stable,long,45,1.41,1.702,-1.5029,1.319
LOCF,20%,normal,crossing,medium,17,2.837,3.328,-0.4031,1.783
LOCF,20%,stagnant_wind,stable,short,1,2.617,2.617,,2.617
LOCF,20%,normal,stable,long,27,5.137,5.685,-4.4431,5.137
LOCF,20%,normal,stable,short,5,0.304,0.333,-2.4343,-0.28
LOCF,20%,normal,crossing,long,39,6.374,7.293,-3.2354,-6.374
LOCF,20%,normal,stable,medium,7,6.266,6.27,-757.3875,-6.266
LOCF,20%,normal,stable,long,42,3.08,3.849,-1.4331,2.954
LOCF,20%,normal,crossing,medium,21,1.873,2.155,-0.7765,1.425
LOCF,20%,stagnant_wind,crossing,medium,7,1.121,1.223,-5.2618,-1.121
LOCF,20%,normal,rising,medium,13,5.151,6.497,-1.5809,-5.085
LOCF,20%,stagnant_wind,stable,short,2,0.379,0.455,-2.2629,-0.379
LOCF,20%,normal,crossing,long,37,2.604,3.287,-0.3127,-1.604
LOCF,20%,normal,crossing,medium,18,1.522,1.741,-0.0421,0.35
LOCF,20%,normal,falling,long,43,2.724,2.885,-0.6325,1.796
LOCF,20%,normal,crossing,long,37,5.195,5.722,-3.2081,4.996
LOCF,20%,normal,stable,long,41,1.876,2.633,-0.6475,-1.651
LOCF,20%,high_temp,crossing,medium,23,6.972,7.998,-2.2327,-6.647
LOCF,20%,low_temp,stable,short,3,6.743,6.743,-8410.925,6.743
LOCF,20%,normal,stable,long,37,1.508,1.935,-1.1149,1.405
LOCF,20%,low_temp,stable,short,1,0.018,0.018,,-0.018
LOCF,20%,high_temp,stable,long,28,4.906,5.61,-2.6765,-4.786
LOCF,20%,normal,rising,medium,7,2.711,2.914,-6.4383,-2.711
LOCF,20%,normal,stable,medium,7,1.882,2.058,-5.1072,-1.882
LOCF,20%,high_temp,crossing,short,3,6.397,6.608,-14.8952,-6.397
LOCF,20%,normal,crossing,medium,9,4.015,4.805,-2.3142,-4.015
LOCF,20%,normal,stable,medium,17,2.476,2.727,-4.5853,-2.47
LOCF,20%,stagnant_wind,stable,medium,9,0.74,0.985,-0.0849,-0.276
LOCF,20%,normal,stable,long,33,5.105,5.694,-4.0115,5.095
LOCF,20%,normal,stable,medium,7,0.37,0.533,-0.1623,0.199
LOCF,20%,low_temp,crossing,medium,21,1.132,1.437,-0.1189,0.468
LOCF,20%,normal,rising,short,3,1.867,1.967,-9.092,-1.867
LOCF,20%,normal,rising,long,25,1.291,1.402,-0.2675,0.644
LOCF,20%,high_temp,crossing,medium,19,5.124,5.817,-3.4601,-5.124
LOCF,20%,normal,falling,short,3,2.702,2.78,-17.0544,2.702
LOCF,20%,normal,crossing,medium,17,3.218,4.066,-0.2249,-1.742
LOCF,20%,low_temp,rising,medium,17,1.789,2.032,-0.2658,0.931
LOCF,20%,normal,stable,short,3,0.589,0.6,-24.8225,0.589
LOCF,20%,normal,crossing,medium,23,7.087,7.869,-4.2914,7.087
LOCF,20%,extreme_high_temp,stable,short,5,0.374,0.454,-0.0015,-0.018
LOCF,20%,normal,falling,short,5,1.215,1.589,-1.4086,1.215
LOCF,20%,normal,rising,short,5,3.109,3.27,-9.4051,-3.109
LOCF,20%,normal,crossing,short,5,0.605,0.634,-9.8944,0.605
LOCF,20%,normal,stable,short,3,0.328,0.537,-0.4196,-0.292
LOCF,20%,normal,crossing,long,25,4.485,5.548,-1.7973,4.447
LOCF,20%,stagnant_wind,stable,short,5,0.401,0.487,-0.0263,-0.078
LOCF,20%,normal,rising,short,3,1.75,1.899,-5.6355,-1.75
LOCF,20%,extreme_high_temp,stable,short,5,0.093,0.108,-0.0936,0.032
LOCF,20%,normal,rising,short,3,1.249,1.547,-0.5616,0.927
LOCF,20%,normal,crossing,long,39,3.717,4.373,-0.4655,-2.464
LOCF,20%,normal,crossing,medium,19,2.567,3.163,-1.914,-2.564
LOCF,20%,extreme_high_temp,crossing,short,5,2.147,2.457,-3.2402,-2.147
LOCF,20%,normal,falling,medium,12,0.994,1.325,-0.4352,0.73
LOCF,20%,normal,crossing,long,25,1.723,2.826,-0.4013,-1.512
LOCF,20%,normal,stable,long,37,4.35,5.36,-1.9297,-4.35
LOCF,20%,normal,rising,long,47,3.697,4.238,-0.3098,-2.061
LOCF,20%,normal,crossing,medium,17,4.302,5.266,-1.7537,4.203
LOCF,20%,normal,crossing,medium,11,4.386,4.902,-2.1379,4.046
LOCF,20%,normal,falling,short,1,1.127,1.127,,1.127
LOCF,20%,high_temp,crossing,short,5,1.631,1.902,-2.7856,1.631
LOCF,20%,high_temp,stable,short,5,0.619,0.642,-13.3347,-0.619
LOCF,20%,extreme_high_temp,crossing,medium,17,2.09,2.369,-3.0741,-2.058
LOCF,20%,normal,falling,medium,9,1.036,1.169,-0.0574,-0.272
LOCF,20%,normal,stable,short,3,0.653,0.692,-8.1866,-0.653
LOCF,20%,extreme_high_temp,crossing,short,5,2.888,3.202,-4.3656,-2.888
LOCF,20%,normal,crossing,long,29,3.66,3.995,-0.3061,-1.934
LOCF,20%,normal,crossing,medium,17,5.097,5.78,-3.496,-5.097
LOCF,20%,normal,stable,short,3,2.162,2.186,-45.2779,-2.162
LOCF,20%,normal,stable,short,5,0.636,0.669,-9.4682,0.636
LOCF,20%,extreme_high_temp,stable,short,3,0.26,0.384,-0.5457,0.228
LOCF,20%,normal,stable,short,2,5.458,5.458,-6079.5437,-5.458
LOCF,20%,normal,stable,short,1,0.118,0.118,,0.118
LOCF,20%,normal,rising,short,3,1.472,1.634,-4.3103,-1.472
LOCF,20%,normal,rising,long,29,4.092,4.459,-0.0006,-0.109
LOCF,20%,normal,falling,short,3,1.179,1.377,-2.7392,1.179
LOCF,20%,high_temp,crossing,medium,11,4.02,4.688,-2.7776,4.02
LOCF,20%,low_temp,crossing,medium,17,1.065,1.183,-4.2923,-1.065
LOCF,20%,extreme_high_temp,crossing,medium,9,3.791,4.387,-2.9461,-3.791
LOCF,20%,normal,stable,long,44,4.432,5.661,-1.1412,-4.133
LOCF,20%,normal,rising,short,5,2.294,2.501,-5.3108,-2.294
LOCF,20%,normal,stable,short,5,0.308,0.357,-2.8813,-0.308
LOCF,20%,stagnant_wind,crossing,short,5,2.832,3.407,-2.2356,-2.832
LOCF,20%,normal,falling,medium,13,2.022,2.393,-2.5005,2.022
LOCF,20%,normal,rising,short,3,2.93,3.038,-13.2822,-2.93
LOCF,20%,normal,crossing,short,5,4.994,5.07,-32.5584,-4.994
LOCF,20%,extreme_high_temp,crossing,short,5,2.488,3.354,-1.2236,2.488
LOCF,20%,low_temp,stable,short,3,0.21,0.296,-0.7171,-0.191
LOCF,20%,normal,stable,short,5,4.869,4.878,-271.276,-4.869
LOCF,20%,extreme_high_temp,crossing,long,31,7.866,8.932,-3.278,-7.819
LOCF,20%,normal,falling,medium,11,2.577,3.153,-2.0145,2.577
LOCF,20%,stagnant_wind,crossing,medium,10,5.572,5.638,-42.3891,5.572
LOCF,20%,normal,falling,long,25,1.554,1.702,-0.0522,0.379
LOCF,20%,normal,stable,long,29,3.25,3.392,-11.1837,3.25
LOCF,20%,normal,crossing,medium,21,2.224,2.647,-0.003,0.144
LOCF,20%,extreme_high_temp,rising,medium,9,8.466,8.499,-128.0276,-8.466
LOCF,20%,normal,stable,long,49,1.937,2.354,-0.1987,0.959
LOCF,20%,normal,stable,medium,15,4.677,5.277,-2.5342,-4.468
LOCF,20%,normal,crossing,short,4,4.951,5.68,-2.7012,-4.853
LOCF,20%,high_temp,crossing,short,3,2.721,2.864,-9.2254,-2.721
LOCF,20%,normal,stable,short,1,0.078,0.078,,0.078
LOCF,20%,low_temp,stable,medium,21,0.229,0.284,-0.8748,0.194
LOCF,20%,low_temp,crossing,medium,11,2.02,2.734,-0.6424,-1.71
LOCF,20%,normal,stable,short,1,1.139,1.139,,-1.139
LOCF,20%,normal,crossing,medium,11,5.515,6.161,-4.0278,-5.515
LOCF,20%,normal,stable,long,49,1.943,2.485,-0.4511,-1.386
LOCF,20%,normal,stable,medium,21,0.588,0.736,-0.0381,0.141
LOCF,20%,normal,crossing,medium,13,4.477,5.094,-3.3918,4.477
LOCF,20%,normal,rising,medium,12,3.99,4.922,-0.2199,-2.089
LOCF,20%,normal,falling,short,1,1.783,1.783,,1.783
LOCF,20%,normal,stable,short,5,4.413,4.504,-24.0215,4.413
LOCF,20%,extreme_high_temp,falling,short,5,1.19,1.412,-0.9821,0.994
LOCF,20%,stagnant_wind,crossing,medium,13,1.096,1.723,-0.648,-1.08
LOCF,20%,stagnant_wind,stable,short,1,0.762,0.762,,-0.762
LOCF,20%,low_temp,crossing,medium,21,1.643,1.835,-0.1352,0.633
LOCF,20%,stagnant_wind,stable,short,1,0.119,0.119,,0.119
LOCF,20%,low_temp,stable,short,3,0.231,0.238,-16.6293,0.231
LOCF,20%,normal,crossing,short,5,2.461,2.746,-4.0896,-2.461
LOCF,20%,normal,stable,short,3,0.901,0.962,-0.2594,0.437
LOCF,20%,stagnant_wind,stable,short,4,0.979,1.022,-11.1427,0.979
LOCF,20%,stagnant_wind,rising,short,3,1.33,1.691,-1.6197,-1.33
LOCF,20%,normal,rising,medium,9,2.882,3.231,-0.5711,1.948
LOCF,20%,normal,rising,short,5,1.313,1.374,-10.5621,-1.313
LOCF,20%,stagnant_wind,rising,medium,13,1.472,1.721,-1.4673,1.327
LOCF,20%,high_temp,rising,medium,23,2.484,2.874,-0.2082,1.193
LOCF,20%,stagnant_wind,stable,medium,7,0.48,0.539,-3.8335,0.48
LOCF,20%,normal,crossing,medium,7,3.491,3.664,-9.8904,3.491
LOCF,20%,high_temp,stable,medium,7,0.374,0.419,-2.0565,0.344
LOCF,20%,normal,stable,medium,19,0.608,0.684,-0.2886,0.324
LOCF,20%,normal,falling,short,3,1.063,1.215,-3.2625,1.063
LOCF,20%,normal,crossing,long,45,2.699,3.529,-1.2206,-2.616
LOCF,20%,normal,stable,short,5,4.989,5.011,-111.3133,-4.989
LOCF,20%,normal,stable,medium,7,0.683,0.809,-1.5107,-0.628
LOCF,20%,normal,falling,medium,11,1.667,1.718,-16.1536,1.667
LOCF,20%,high_temp,stable,medium,7,0.296,0.335,-1.7564,-0.268
LOCF,20%,stagnant_wind,stable,medium,9,3.501,3.516,-114.8874,3.501
LOCF,20%,low_temp,stable,long,40,3.66,4.096,-0.0678,1.032
LOCF,20%,normal,stable,long,43,1.871,2.298,-0.0122,-0.252
LOCF,20%,low_temp,crossing,short,5,1.355,1.387,-21.2049,1.355
LOCF,20%,normal,stable,short,5,0.167,0.225,-0.1162,-0.073
LOCF,20%,low_temp,stable,short,3,0.123,0.132,-0.0017,0.005
LOCF,20%,normal,falling,short,5,2.654,3.25,-0.9982,2.297
LOCF,20%,normal,falling,medium,7,2.871,2.974,-13.6608,2.871
LOCF,20%,normal,stable,short,5,0.388,0.473,-2.0687,0.388
LOCF,20%,low_temp,crossing,medium,7,0.453,0.84,-0.2574,-0.38
LOCF,20%,high_temp,stable,short,1,0.196,0.196,,-0.196
LOCF,20%,normal,stable,short,1,0.965,0.965,,0.965
LOCF,20%,normal,falling,medium,11,2.461,2.664,-5.8323,2.461
LOCF,20%,normal,crossing,short,3,2.58,3.189,-1.8926,2.58
LOCF,20%,normal,falling,short,5,1.968,2.278,-2.9443,1.968
LOCF,20%,normal,falling,long,40,3.627,4.01,-0.049,-0.866
LOCF,20%,high_temp,crossing,medium,21,2.665,3.604,-0.718,2.33
LOCF,20%,stagnant_wind,stable,short,3,0.999,1.003,-146.1379,0.999
LOCF,20%,normal,crossing,medium,16,2.474,2.912,-0.0124,-0.322
LOCF,20%,low_temp,crossing,long,33,0.375,0.447,-0.1646,0.168
LOCF,20%,normal,rising,medium,14,2.432,2.589,-7.5195,-2.432
LOCF,20%,extreme_high_temp,crossing,medium,7,3.208,3.533,-4.7053,-3.208
LOCF,20%,stagnant_wind,rising,medium,15,2.04,2.398,-0.0136,-0.277
LOCF,20%,normal,stable,medium,15,1.291,1.421,-2.554,-1.204
LOCF,20%,normal,rising,short,1,1.284,1.284,,-1.284
LOCF,20%,normal,stable,short,3,0.055,0.086,-0.3552,0.044
LOCF,20%,normal,falling,medium,9,1.908,2.292,-2.2592,1.908
LOCF,20%,normal,stable,short,3,1.037,1.05,-38.0543,1.037
LOCF,20%,normal,stable,medium,17,3.183,3.369,-8.309,-3.183
LOCF,20%,normal,stable,medium,21,1.369,1.57,-3.1732,-1.369
LOCF,20%,normal,stable,long,33,2.706,3.46,-0.4039,-1.856
LOCF,20%,normal,stable,short,5,0.463,0.514,-4.325,0.463
LOCF,20%,stagnant_wind,falling,short,3,1.048,1.27,-2.1309,1.048
LOCF,20%,stagnant_wind,crossing,medium,13,2.256,3.092,-0.2384,-1.357
LOCF,20%,normal,stable,short,3,0.326,0.338,-12.708,-0.326
LOCF,20%,extreme_high_temp,stable,medium,7,1.032,1.126,-5.2258,-1.032
LOCF,20%,normal,falling,short,5,2.302,2.692,-2.7173,2.302
LOCF,20%,normal,stable,short,3,0.342,0.353,-14.5086,0.342
LOCF,20%,low_temp,crossing,medium,22,6.385,6.61,-13.925,6.385
LOCF,20%,normal,stable,short,1,1.22,1.22,,-1.22
LOCF,20%,normal,crossing,medium,20,2.143,2.319,-0.5792,1.404
